2014-03-19 12:59:47,817| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|maxmar 0.19500000
2014-03-19 12:59:47,817| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|minmar 0.19500000
2014-03-19 12:59:47,817| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Number of stdev 5.32672388646169991943679633550345897674560546875
2014-03-19 12:59:47,818| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Standard deviation 0.021715697547330804761944733627387904562056064605712890625
2014-03-19 12:59:47,818| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|normMar 0.11750000
2014-03-19 12:59:47,819| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|STATINSTRID	15063	HP	1	Period	30000	Iteration	1	Default Confidence	0.99550000	Stressed Confidence	0.9999999	Considered days	3963	MathMargin	0.19500000
2014-03-19 12:59:47,819| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|INSTRID 15063 HP 1 HP2USE 1 Periodo 30000 Iteration 2
2014-03-19 12:59:47,820| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Days 3963
2014-03-19 12:59:47,820| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|eventIn 3945
2014-03-19 12:59:47,821| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|eventOut 18
2014-03-19 12:59:47,821| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|maxmar 0.09000000
2014-03-19 12:59:47,822| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|minmar 0.09000000
2014-03-19 12:59:47,822| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Number of stdev 2.84080371788098862140259370789863169193267822265625
2014-03-19 12:59:47,822| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Standard deviation 0.021715697547330804761944733627387904562056064605712890625
2014-03-19 12:59:47,823| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|normMar 0.06250000
2014-03-19 12:59:47,823| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|STATINSTRID	15063	HP	1	Period	30000	Iteration	2	Default Confidence	0.99550000	Stressed Confidence	0.9955	Considered days	3963	MathMargin	0.09000000
2014-03-19 12:59:47,860| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Hp 1 Period 3283 1th - 0.13373403 Date 2008-10-13 00:00:00.0
2014-03-19 12:59:47,861| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Hp 1 Period 3283 2th - 0.12048193 Date 2008-11-04 00:00:00.0
2014-03-19 12:59:47,861| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Hp 1 Period 3283 3th - -0.11885246 Date 2008-10-06 00:00:00.0
2014-03-19 12:59:47,861| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Hp 1 Period 3283 4th - -0.10618182 Date 2009-06-22 00:00:00.0
2014-03-19 12:59:47,862| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Hp 1 Period 3283 5th - 0.09936766 Date 2012-08-07 00:00:00.0
2014-03-19 12:59:47,862| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Hp 1 Period 3283 6th - 0.09655172 Date 2012-05-10 00:00:00.0
2014-03-19 12:59:47,862| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Hp 1 Period 3283 7th - 0.09355509 Date 2012-08-16 00:00:00.0
2014-03-19 12:59:47,863| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Hp 1 Period 3283 8th - 0.09084621 Date 2012-05-07 00:00:00.0
2014-03-19 12:59:47,863| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Hp 1 Period 3283 9th - -0.09061865 Date 2012-08-02 00:00:00.0
2014-03-19 12:59:47,863| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Hp 1 Period 3283 10th - 0.08586643 Date 2012-04-20 00:00:00.0
2014-03-19 12:59:47,864| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Hp 1 Period 3283 11th - -0.08357477 Date 2013-02-26 00:00:00.0
2014-03-19 12:59:47,864| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Hp 1 Period 3283 12th - -0.08168761 Date 2012-04-10 00:00:00.0
2014-03-19 12:59:47,864| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Hp 1 Period 3283 13th - -0.08006814 Date 2011-06-20 00:00:00.0
